epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,420.221,0.79983,0.38657,1.12183,0.99116,0.99381,0.995,0.73612,1.0133,0.3605,1.14506,0.000236145,0.000236145,0.000236145
45,430.121,0.78418,0.38057,1.11799,0.98977,0.99433,0.995,0.76598,0.88944,0.34436,1.07837,0.00023466,0.00023466,0.00023466
46,439.079,0.81449,0.38714,1.11962,0.9927,0.99932,0.995,0.74658,1.00477,0.3535,1.1346,0.000233175,0.000233175,0.000233175
47,447.821,0.81733,0.38689,1.12845,0.99762,1,0.995,0.75648,0.92744,0.33421,1.09724,0.00023169,0.00023169,0.00023169
48,456.594,0.79881,0.3863,1.11985,0.9936,1,0.995,0.75183,0.93834,0.34269,1.09435,0.000230205,0.000230205,0.000230205
49,465.408,0.81108,0.38337,1.12099,0.99449,0.99519,0.995,0.74337,0.9816,0.34896,1.11408,0.00022872,0.00022872,0.00022872
50,474.137,0.79488,0.38667,1.10915,0.99577,0.99972,0.995,0.72169,1.06235,0.36665,1.16558,0.000227235,0.000227235,0.000227235
51,482.845,0.80318,0.39433,1.11935,0.99684,0.99945,0.995,0.75395,1.00553,0.35101,1.12663,0.00022575,0.00022575,0.00022575
52,491.532,0.79061,0.37732,1.10483,0.99177,1,0.995,0.74937,0.97395,0.34745,1.10625,0.000224265,0.000224265,0.000224265
53,500.221,0.7772,0.36972,1.10362,0.9892,0.99666,0.995,0.74624,1.02398,0.36034,1.13783,0.00022278,0.00022278,0.00022278
54,509.101,0.787,0.39173,1.10707,0.97811,0.97215,0.99478,0.76393,0.92463,0.40657,1.09073,0.000221295,0.000221295,0.000221295
55,517.801,0.80532,0.38067,1.12441,0.99224,0.99359,0.99494,0.70455,1.09744,0.38515,1.20717,0.00021981,0.00021981,0.00021981
